date	region	fips	infections	deaths
2020-05-13	Yorkshire and The Humber	5	18918	2693
2020-05-13	West Midlands	6	19574	3853
2020-05-13	South East	7	19574	3980
2020-05-13	South West	8	10442	1577
2020-05-13	East of England	9	17900	3290
2020-05-14	East Midlands	1	12768	2224
2020-05-14	North West	2	31645	4863
2020-05-14	North East	3	12585	1708
2020-05-14	London	4	30867	5893
2020-05-14	Yorkshire and The Humber	5	19273	2733
2020-05-14	West Midlands	6	19830	3884
2020-05-14	South East	7	19830	4029
2020-05-14	South West	8	10535	1589
2020-05-14	East of England	9	18117	3323
2020-05-15	East Midlands	1	13019	2243
2020-05-15	North West	2	32037	4922
2020-05-15	North East	3	12722	1729
2020-05-15	London	4	31000	5911
2020-05-15	Yorkshire and The Humber	5	19610	2776
2020-05-15	West Midlands	6	20095	3916
2020-05-15	South East	7	20095	4067
2020-05-15	South West	8	10638	1596
2020-05-15	East of England	9	18326	3353
2020-05-16	East Midlands	1	13274	2265
2020-05-16	North West	2	32443	4973
2020-05-16	North East	3	12848	1761
2020-05-16	London	4	31073	5921
2020-05-16	Yorkshire and The Humber	5	19868	2810
2020-05-16	West Midlands	6	20270	3956
2020-05-16	South East	7	20270	4100
2020-05-16	South West	8	10730	1605
2020-05-16	East of England	9	18500	3388
2020-05-17	East Midlands	1	13478	2281
2020-05-17	North West	2	32744	5010
2020-05-17	North East	3	12946	1788
2020-05-17	London	4	31151	5935
2020-05-17	Yorkshire and The Humber	5	20112	2833
2020-05-17	West Midlands	6	20442	3987
2020-05-17	South East	7	20442	4130
2020-05-17	South West	8	10827	1616
2020-05-17	East of England	9	18655	3421
2020-05-18	East Midlands	1	13748	2308
2020-05-18	North West	2	33153	5047
2020-05-18	North East	3	13091	1820
2020-05-18	London	4	31264	5948
2020-05-18	Yorkshire and The Humber	5	20373	2866
2020-05-18	West Midlands	6	20649	4020
2020-05-18	South East	7	20649	4162
2020-05-18	South West	8	10945	1625
2020-05-18	East of England	9	18939	3458
2020-05-19	East Midlands	1	14041	2330
2020-05-19	North West	2	33734	5098
2020-05-19	North East	3	13213	1841
2020-05-19	London	4	31393	5968
2020-05-19	Yorkshire and The Humber	5	20761	2891
2020-05-19	West Midlands	6	20927	4047
2020-05-19	South East	7	20927	4191
2020-05-19	South West	8	11053	1639
2020-05-19	East of England	9	19194	3479
2020-05-20	East Midlands	1	14316	2354
2020-05-20	North West	2	34231	5132
2020-05-20	North East	3	13344	1856
2020-05-20	London	4	31535	5984
2020-05-20	Yorkshire and The Humber	5	21056	2920
2020-05-20	West Midlands	6	21180	4072
2020-05-20	South East	7	21180	4229
2020-05-20	South West	8	11190	1648
2020-05-20	East of England	9	19437	3520
2020-05-21	East Midlands	1	14596	2378
2020-05-21	North West	2	34657	5174
2020-05-21	North East	3	13473	1876
2020-05-21	London	4	31692	5996
2020-05-21	Yorkshire and The Humber	5	21438	2947
2020-05-21	West Midlands	6	21405	4096
2020-05-21	South East	7	21405	4247
2020-05-21	South West	8	11276	1657
2020-05-21	East of England	9	19682	3544
2020-05-22	East Midlands	1	14836	2399
2020-05-22	North West	2	35033	5203
2020-05-22	North East	3	13568	1889
2020-05-22	London	4	31773	6004
2020-05-22	Yorkshire and The Humber	5	21705	2974
2020-05-22	West Midlands	6	21601	4120
2020-05-22	South East	7	21601	4285
2020-05-22	South West	8	11357	1667
2020-05-22	East of England	9	19872	3568
2020-05-23	East Midlands	1	15000	2428
2020-05-23	North West	2	35323	5243
2020-05-23	North East	3	13644	1903
2020-05-23	London	4	31838	6010
2020-05-23	Yorkshire and The Humber	5	21939	2997
2020-05-23	West Midlands	6	21749	4140
2020-05-23	South East	7	21749	4317
2020-05-23	South West	8	11398	1678
2020-05-23	East of England	9	20022	3593
2020-05-24	East Midlands	1	15145	2442
2020-05-24	North West	2	35587	5278
2020-05-24	North East	3	13720	1917
2020-05-24	London	4	31890	6016
2020-05-24	Yorkshire and The Humber	5	22144	3021
2020-05-24	West Midlands	6	21884	4155
2020-05-24	South East	7	21884	4343
2020-05-24	South West	8	11457	1686
2020-05-24	East of England	9	20125	3618
2020-05-25	East Midlands	1	15337	2461
2020-05-25	North West	2	35856	5313
2020-05-25	North East	3	13779	1924
2020-05-25	London	4	31947	6025
2020-05-25	Yorkshire and The Humber	5	22398	3052
2020-05-25	West Midlands	6	22021	4175
2020-05-25	South East	7	22021	4359
2020-05-25	South West	8	11518	1697
2020-05-25	East of England	9	20272	3645
2020-05-26	East Midlands	1	15497	2484
2020-05-26	North West	2	36164	5344
2020-05-26	North East	3	13879	1939
2020-05-26	London	4	32013	6036
2020-05-26	Yorkshire and The Humber	5	22629	3073
2020-05-26	West Midlands	6	22172	4200
